（No.）,カテゴリー (Category),表示(ID),数値 (Param),"終了待ち(EventWait)",補足（Comment）,セリフ(ID),NAME,日本語 (JP)【プロローグ】,英語 (EN),中国語 (CH)
1,CINEMASCOPE,CS_IN,-,1,-,TEST_PV_MS_001,SEA,初めまして、地球人さん。\nボクはシー。海を見に来たんだ,-,-
2,TEXT,TEST_PV_MS_001,-,0,-,TEST_PV_MS_002,MARE,海......？,-,-
3,TEXT,TEST_PV_MS_002,-,0,-,TEST_PV_MS_003,SEA,うん！　キラキラしたでっかーい\n水たまりなんでしょ？　,-,-
4,TEXT,TEST_PV_MS_003,-,0,-,TEST_PV_MS_004,SEA,ボクの生まれ故郷はどこを見ても\n岩と砂ばっかりでそんなすごいものないの！　\n楽しみだなぁ！,-,-
5,TEXT,TEST_PV_MS_004,-,0,-,TEST_PV_MS_005,MARE,どこを見ても岩と砂ってーー,-,-
6,TEXT,TEST_PV_MS_005,-,0,-,TEST_PV_MS_006,NULL,,-,-
7,FADEOUT,-,1,0,-,TEST_PV_MS_007,MARE,なにがだよ？,-,-
8,TEXT,TEST_PV_MS_006,-,0,-,TEST_PV_MS_008,SEA,ボクの星だったら『宇宙人』とは\n呼ばれないもん。,-,-
9,FADEIN,-,1,0,-,TEST_PV_MS_009,SEA,うんうん。これも地球に来たからこそ\n味わえる体験ってものだね,-,-
10,TEXT,TEST_PV_MS_007,-,0,-,TEST_PV_MS_010,SEA,ボクも先に来たみんなみたいに、\n地球の人たちといーっぱい\n仲良くなれたら嬉しいな！,-,-
11,TEXT,TEST_PV_MS_008,-,0,-,TEST_PV_MS_011,MARE,......なにも知らないのか？,-,-
12,TEXT,TEST_PV_MS_009,-,0,-,TEST_PV_MS_012,SEA,なにを？,-,-
13,TEXT,TEST_PV_MS_010,-,0,-,TEST_PV_MS_013,MARE,......いや、気にするな。\n好きなだけ観光して帰れよ。,-,-
14,TEXT,TEST_PV_MS_011,-,0,-,-,NULL,-,-,-
15,TEXT,TEST_PV_MS_012,-,0,-,-,NULL,-,-,-
16,TEXT,TEST_PV_MS_013,-,0,-,-,NULL,-,-,-
17,FADEOUT,-,1,0,-,-,NULL,-,-,-
18,CINEMASCOPE,CS_OUT,-,0,-,-,NULL,-,-,-
19,TEXT,-,-,0,-,-,NULL,,-,-
20,FADEIN,-,1,0,-,-,NULL,-,-,-
21,END,-,-,0,-,-,NULL,-,-,-
22,NON,-,-,0,-,-,,-,-,-
23,NON,-,-,0,-,-,,-,-,-
24,NON,-,-,0,-,-,,-,-,-
25,NON,-,-,0,-,-,,-,-,-
26,NON,-,-,0,-,-,,-,-,-
27,NON,-,-,0,-,-,,-,-,-
28,NON,-,-,0,-,-,,-,-,-
29,NON,-,-,0,-,-,,-,-,-
30,NON,-,-,0,-,-,,-,-,-
31,NON,-,-,0,-,-,,-,-,-
32,NON,-,-,0,-,-,,-,-,-
33,NON,-,-,0,-,-,,-,-,-
34,NON,-,-,0,-,-,,-,-,-
35,NON,-,-,0,-,-,,-,-,-
36,NON,-,-,0,-,-,,-,-,-
37,NON,-,-,0,-,-,,-,-,-
38,NON,-,-,0,-,-,,-,-,-
39,NON,-,-,0,-,-,,-,-,-
40,NON,-,-,0,-,-,,-,-,-
41,NON,-,-,0,-,-,,-,-,-
42,NON,-,-,0,-,-,,-,-,-
43,NON,-,-,0,-,-,,-,-,-
44,NON,-,-,0,-,-,,-,-,-
45,NON,-,-,0,-,-,,-,-,-
46,NON,-,-,0,-,-,,-,-,-
47,NON,-,-,0,-,-,,-,-,-
48,NON,-,-,0,-,-,,-,-,-
49,NON,-,-,0,-,-,,-,-,-
50,NON,-,-,0,-,-,,-,-,-
51,NON,-,-,0,-,-,,-,-,-
52,NON,-,-,0,-,-,,-,-,-
53,NON,-,-,0,-,-,,-,-,-
54,NON,-,-,0,-,-,,-,-,-
55,NON,-,-,0,-,-,,-,-,-
56,NON,-,-,0,-,-,,-,-,-
57,NON,-,-,0,-,-,,-,-,-
58,NON,-,-,0,-,-,,-,-,-
59,NON,-,-,0,-,-,,-,-,-
60,NON,-,-,0,-,-,,-,-,-
61,NON,-,-,0,-,-,,-,-,-
62,NON,-,-,0,-,-,,-,-,-
63,NON,-,-,0,-,-,,-,-,-
64,NON,-,-,0,-,,,,,
65,NON,-,-,0,-,,,,,
66,NON,-,-,0,-,,,,,
67,NON,-,-,0,-,,,,,
68,NON,-,-,0,-,,,,,
69,NON,-,-,0,-,,,,,
70,NON,-,-,0,-,,,,,
71,NON,-,-,0,-,,,,,
72,NON,-,-,0,-,,,,,
73,NON,-,-,0,-,,,,,
74,NON,-,-,0,-,,,,,
75,NON,-,-,0,-,,,,,
76,NON,-,-,0,-,,,,,
77,NON,-,-,0,-,,,,,
78,NON,-,-,0,-,,,,,
79,NON,-,-,0,-,,,,,
80,NON,-,-,0,-,,,,,
81,NON,-,-,0,-,,,,,
82,NON,-,-,0,-,,,,,
83,NON,-,-,0,-,,,,,
84,NON,-,-,0,-,,,,,
85,NON,-,-,0,-,,,,,
86,NON,-,-,0,-,,,,,
87,NON,-,-,0,-,,,,,
88,NON,-,-,0,-,,,,,
89,NON,-,-,0,-,,,,,
90,NON,-,-,0,-,,,,,
91,NON,-,-,0,-,,,,,
92,NON,-,-,0,-,,,,,
93,NON,-,-,0,-,,,,,
94,NON,-,-,0,-,,,,,
95,NON,-,-,0,-,,,,,
96,NON,-,-,0,-,,,,,
97,NON,-,-,0,-,,,,,
98,NON,-,-,0,-,,,,,
99,NON,-,-,0,-,,,,,
