（No.）,カテゴリー (Category),表示(ID),数値 (Param),"終了待ち
(EventWait)",補足（Comment）,セリフ(ID),NAME,日本語 (JP)【プロローグ】,英語 (EN),中国語 (CH)
1,TEXT,TEST_MS_001,-,0,-,TEST_MS_001,TESTER1,いろんな表示テスト,-,-
2,TEXT,TEST_MS_002,-,0,-,TEST_MS_002,TESTER1,あああああああああああああああああああああああああああ,-,-
3,PIC,PIC_FACE_SEA_PLEASURE,-,0,-,TEST_MS_003,TESTER2,表示テスト終了,-,-
4,PIC,PIC_EMO_SEA,-,0,-,-,,-,-,-
5,WAIT,-,2,0,-,-,,-,-,-
6,CAMERA,FOLLOW_SEA,1,0,-,-,,,,
7,EV,PIX_CARA_SEA_W_TIE,2,0,-,-,,-,-,-
8,CAMERA,-,0,0,-,-,,,,
9,TEXT,TEST_MS_003,-,0,-,-,,-,-,-
10,NON,-,-,0,-,-,,-,-,-
11,NON,-,-,0,-,-,,-,-,-
12,NON,-,-,0,-,-,,-,-,-
13,NON,-,-,0,-,-,,-,-,-
14,NON,-,-,0,-,-,,-,-,-
15,NON,-,-,0,-,-,,-,-,-
16,NON,-,-,0,-,-,,-,-,-
17,NON,-,-,0,-,-,,-,-,-
18,NON,-,-,0,-,-,,-,-,-
19,NON,-,-,0,-,-,,-,-,-
20,NON,-,-,0,-,-,,-,-,-
21,NON,-,-,0,-,-,,-,-,-
22,NON,-,-,0,-,-,,-,-,-
23,NON,-,-,0,-,-,,-,-,-
24,NON,-,-,0,-,-,,-,-,-
25,NON,-,-,0,-,-,,-,-,-
26,NON,-,-,0,-,-,,-,-,-
27,NON,-,-,0,-,-,,-,-,-
28,NON,-,-,0,-,-,,-,-,-
29,NON,-,-,0,-,-,,-,-,-
30,NON,-,-,0,-,-,,-,-,-
31,NON,-,-,0,-,-,,-,-,-
32,NON,-,-,0,-,-,,-,-,-
33,NON,-,-,0,-,-,,-,-,-
34,NON,-,-,0,-,-,,-,-,-
35,NON,-,-,0,-,-,,-,-,-
36,NON,-,-,0,-,-,,-,-,-
37,NON,-,-,0,-,-,,-,-,-
38,NON,-,-,0,-,-,,-,-,-
39,NON,-,-,0,-,-,,-,-,-
40,NON,-,-,0,-,-,,-,-,-
41,NON,-,-,0,-,-,,-,-,-
42,NON,-,-,0,-,-,,-,-,-
43,NON,-,-,0,-,-,,-,-,-
44,NON,-,-,0,-,-,,-,-,-
45,NON,-,-,0,-,-,,-,-,-
46,NON,-,-,0,-,-,,-,-,-
47,NON,-,-,0,-,-,,-,-,-
48,NON,-,-,0,-,-,,-,-,-
49,NON,-,-,0,-,-,,-,-,-
50,NON,-,-,0,-,-,,-,-,-
51,NON,-,-,0,-,-,,-,-,-
52,NON,-,-,0,-,-,,-,-,-
53,NON,-,-,0,-,-,,-,-,-
54,NON,-,-,0,-,,,,,
55,NON,-,-,0,-,,,,,
56,NON,-,-,0,-,,,,,
57,NON,-,-,0,-,,,,,
58,NON,-,-,0,-,,,,,
59,NON,-,-,0,-,,,,,
60,NON,-,-,0,-,,,,,
61,NON,-,-,0,-,,,,,
62,NON,-,-,0,-,,,,,
63,NON,-,-,0,-,,,,,
64,NON,-,-,0,-,,,,,
65,NON,-,-,0,-,,,,,
66,NON,-,-,0,-,,,,,
67,NON,-,-,0,-,,,,,
68,NON,-,-,0,-,,,,,
69,NON,-,-,0,-,,,,,
70,NON,-,-,0,-,,,,,
71,NON,-,-,0,-,,,,,
72,NON,-,-,0,-,,,,,
73,NON,-,-,0,-,,,,,
74,NON,-,-,0,-,,,,,
75,NON,-,-,0,-,,,,,
76,NON,-,-,0,-,,,,,
77,NON,-,-,0,-,,,,,
78,NON,-,-,0,-,,,,,
79,NON,-,-,0,-,,,,,
80,NON,-,-,0,-,,,,,
81,NON,-,-,0,-,,,,,
82,NON,-,-,0,-,,,,,
83,NON,-,-,0,-,,,,,
84,NON,-,-,0,-,,,,,
85,NON,-,-,0,-,,,,,
86,NON,-,-,0,-,,,,,
87,NON,-,-,0,-,,,,,
88,NON,-,-,0,-,,,,,
89,NON,-,-,0,-,,,,,
